id,name,product,price,date
498,Elston Bage,Halibut - Fletches,20.61,10/21/2022
499,Daryl Maffioni,Cornstarch,44.13,10/21/2022
500,Glad Berre,Sour Puss Sour Apple,45.91,10/21/2022
501,Marjy Riha,"Beef - Ox Tail, Frozen",20.42,10/21/2022
502,Augie Hancill,Tomatoes - Hot House,19.02,10/21/2022
503,Clerkclaude Zottoli,Bag - Regular Kraft 20 Lb,40.28,10/21/2022
504,Whitney Bonhill,Cheese - Ricotta,93.65,10/21/2022
505,Carrissa Murrhaupt,Tilapia - Fillets,44.14,10/21/2022
506,Ira Saunderson,Appetizer - Assorted Box,37.30,10/21/2022
507,Lisabeth Grealish,Shortbread - Cookie Crumbs,24.39,10/21/2022
508,Meggy Hanner,Ice Cream - Turtles Stick Bar,46.10,10/21/2022
509,Deloris Delacroix,Sauce - Hoisin,33.65,10/21/2022
510,Pate Corington,Meldea Green Tea Liquor,63.42,10/21/2022
511,Uriel Gillicuddy,Dikon,63.33,10/21/2022
512,Cass Gudd,Bread - 10 Grain Parisian,20.89,10/21/2022
513,Nevin Stitfall,Whmis - Spray Bottle Trigger,73.15,10/21/2022
514,Brewer Wycherley,"Appetizer - Spring Roll, Veg",47.44,10/21/2022
515,Felita Tootell,"Wine - Red, Gamay Noir",69.25,10/21/2022
516,Adelheid Darby,"Pork - Bacon, Double Smoked",,10/21/2022
517,Basile Cunningham,Soup Knorr Chili With Beans,45.65,10/21/2022
518,Helenka Sabine,Sugar - Brown,39.13,10/21/2022
519,Edee Sygrove,Rabbit - Frozen,92.91,10/21/2022
520,Rosita Pattrick,Pork - Backfat,43.51,10/21/2022
521,Aymer Thrush,Dc Hikiage Hira Huba,56.18,10/21/2022
522,Caralie Whetland,Yogurt - French Vanilla,95.39,10/21/2022
523,Obie McCooke,Loquat,66.50,10/21/2022
524,Rochelle Bunt,"Thyme - Lemon, Fresh",53.70,10/21/2022
525,Etienne Deeley,Scotch - Queen Anne,91.76,10/21/2022
526,Calvin Syrad,"Pepper - Red, Finger Hot",51.63,10/21/2022
527,Haleigh Kirimaa,Samosa - Veg,75.04,10/21/2022
528,Norbert Yegorov,Silicone Paper 16.5x24,,10/21/2022
529,Sibylla Guiness,Milk - Buttermilk,24.85,10/21/2022
530,Chiquia Crippill,Table Cloth - 53x69 Colour,,10/21/2022
531,Jaime Camili,Absolut Citron,50.36,10/21/2022
532,Ryon Madigan,Curry Paste - Green Masala,80.63,10/21/2022
533,Burlie Threlkeld,Bread - 10 Grain Parisian,30.59,10/21/2022
534,Paulita Gerg,Lettuce - Baby Salad Greens,53.01,10/21/2022
535,Elsbeth Rolance,Honey - Comb,15.37,10/21/2022
536,Hilario Pirie,Bread - White Epi Baguette,98.60,10/21/2022
537,Agnes Goomes,Cup - 4oz Translucent,83.70,10/21/2022
538,Nonnah Burbank,Otomegusa Dashi Konbu,48.74,10/21/2022
539,Eleanora Goold,Compound - Raspberry,24.58,10/21/2022
540,Ely Blum,"Roe - Lump Fish, Black",33.67,10/21/2022
541,Charlie Swayland,Bread - Triangle White,21.73,10/21/2022
542,Eamon Sparey,Beef - Flank Steak,36.04,10/21/2022
543,Harrie Vinker,"Bread - Roll, Canadian Dinner",74.80,10/21/2022
544,Joannes Ducastel,Cabbage - Savoy,20.85,10/21/2022
545,Farlee Parzis,Barramundi,,10/21/2022
546,Laurena Asquez,"Pepper - Black, Crushed",54.78,10/21/2022
547,Peterus Beningfield,Table Cloth 54x72 Colour,67.66,10/21/2022
548,Adams Samwayes,Sherbet - Raspberry,76.78,10/21/2022
549,Eleanor Sinden,Squash - Sunburst,28.99,10/21/2022
550,Janos Bastone,Lemons,76.10,10/21/2022
551,Steffane Jockle,Wine - Winzer Krems Gruner,70.34,10/21/2022
552,Jen Peery,Jerusalem Artichoke,79.57,10/21/2022
553,Blondy Costall,Tea - Black Currant,72.37,10/21/2022
554,Gennie Loughney,Caviar - Salmon,96.01,10/21/2022
555,Jeffie Warner,Bread - Mini Hamburger Bun,25.63,10/21/2022
556,Tabby Nevins,Myers Planters Punch,71.87,10/21/2022
557,Niel Rackley,"Flour - Buckwheat, Dark",11.62,10/21/2022
558,Amery Chaulk,Tea - Green,66.45,10/21/2022
559,Davita Hepher,Gelatine Powder,52.98,10/21/2022
560,Saw Juorio,Instant Coffee,,10/21/2022
561,Winny Frangleton,Wakami Seaweed,73.29,10/21/2022
562,Phyllis Foye,Bok Choy - Baby,,10/21/2022
563,Katerina Turton,Carbonated Water - Strawberry,63.55,10/21/2022
564,Kleon Carrabot,"Pasta - Rotini, Colour, Dry",,10/21/2022
565,Sampson Gouthier,Wine - Rioja Campo Viejo,14.20,10/21/2022
566,Harold Stormouth,Wine - Pinot Grigio Collavini,34.97,10/21/2022
567,Reggis MacKeeg,Spice - Onion Powder Granulated,30.88,10/21/2022
568,Bella Goodliffe,Macaroons - Homestyle Two Bit,79.30,10/21/2022
569,Adela Iddison,Couscous,43.00,10/21/2022
570,Nanny Cheshir,Galliano,87.72,10/21/2022
571,Armstrong Dyment,Bread - Hot Dog Buns,49.31,10/21/2022
572,Maurise Wrightem,Pork - Side Ribs,11.04,10/21/2022
573,Natal Robben,Dry Ice,12.15,10/21/2022
574,Bliss Horrell,Cut Wakame - Hanawakaba,65.43,10/21/2022
575,Doro McCurley,Tomatillo,11.55,10/21/2022
