id,name,product,price,date
1,Selinda Rheaume,Wine - Prosecco Valdobiaddene,10.31,10/20/2022
2,Wynnie Gozzard,"Wine - Red, Wolf Blass, Yellow",20.05,10/20/2022
3,Patten Whitter,Crackers - Soda / Saltins,39.75,10/20/2022
4,Hulda Eslie,Roe - White Fish,37.10,10/20/2022
5,Chrystal Haggie,Wine - Delicato Merlot,35.82,10/20/2022
6,Rorie Dellenbrok,Instant Coffee,80.67,10/20/2022
7,Vidovic Perryn,"Capon - Breast, Double, Wing On",47.68,10/20/2022
8,Uriel Ruf,Capers - Ox Eye Daisy,14.84,10/20/2022
9,Hazel Flippen,Beer - Upper Canada Lager,96.90,10/20/2022
10,Ailbert Abramamov,"Chestnuts - Whole,canned",75.92,10/20/2022
11,Ingram Spivie,"Crab - Claws, 26 - 30",15.78,10/20/2022
12,Purcell McMichael,Parasol Pick Stir Stick,65.65,10/20/2022
13,Cecelia Chennells,Buffalo - Tenderloin,35.44,10/20/2022
14,Modesty Looby,Nestea - Iced Tea,18.17,10/20/2022
15,Godfrey Karby,Pork - Backfat,43.66,10/20/2022
16,Katie Muffitt,Beef - Ground Lean Fresh,22.89,10/20/2022
17,Hope Hairon,Cream - 10%,41.12,10/20/2022
18,Ivory Wilman,"Tomatoes - Plum, Canned",78.69,10/20/2022
19,Cristina Doleman,Goldschalger,80.74,10/20/2022
20,Janka Truesdale,Boogies,42.36,10/20/2022
21,Clari Size,"Pork - Loin, Bone - In",35.92,10/20/2022
22,Nero Storr,Gelatine Leaves - Envelopes,83.33,10/20/2022
23,Melany Baskerville,Appetiser - Bought,53.95,10/20/2022
24,Edmon Martins,Cookie Double Choco,44.88,10/20/2022
25,Agretha Virgoe,Table Cloth 120 Round White,43.51,10/20/2022
26,Clevie McCosh,Beef Ground Medium,41.25,10/20/2022
27,Mariellen Hollibone,Juice - Cranberry 284ml,11.91,10/20/2022
28,Mercie Lake,Cherries - Fresh,69.06,10/20/2022
29,Shannon Uman,"Pork - Back, Long Cut, Boneless",96.14,10/20/2022
30,Arlin Ferencz,Garlic - Peeled,64.37,10/20/2022
31,Daryl Poe,Bagel - 12 Grain Preslice,34.31,10/20/2022
32,Odella Crohan,Bagels Poppyseed,13.61,10/20/2022
33,Sharl Ells,"Club Soda - Schweppes, 355 Ml",39.84,10/20/2022
34,Mead Mully,Wasabi Powder,84.85,10/20/2022
35,Rudyard Lorryman,"Bread - Roll, Soft White Round",68.56,10/20/2022
36,Dominique Maulden,Bar Special K,70.15,10/20/2022
37,Niels Blazejewski,Wine - Trimbach Pinot Blanc,14.64,10/20/2022
38,Flint Atwel,Garbage Bag - Clear,78.70,10/20/2022
39,Robinson Petters,"Pork - Loin, Bone - In",33.06,10/20/2022
40,Brennen Fern,Bacardi Raspberry,82.45,10/20/2022
41,Isidore Tolotti,"Lamb - Loin, Trimmed, Boneless",35.75,10/20/2022
42,Beverie Speechley,Chocolate - Sugar Free Semi Choc,88.15,10/20/2022
43,Marylinda Neeson,Muffin Mix - Raisin Bran,14.34,10/20/2022
44,Marylynne Bottlestone,Lid Tray - 12in Dome,43.09,10/20/2022
45,Karylin Eayres,"Juice - V8, Tomato",93.99,10/20/2022
46,Nataniel Antrim,Truffle Cups - Red,17.06,10/20/2022
47,Hall Grigoryev,Country Roll,60.41,10/20/2022
48,Barry Pheazey,Veal - Bones,26.07,10/20/2022
49,Harlan Blackster,Pomegranates,29.89,10/20/2022
50,Franky Cuseck,Otomegusa Dashi Konbu,88.31,10/20/2022
51,Babs Andriulis,Vinegar - Tarragon,44.27,10/20/2022
